experiment,step,metric,value
DC-PPO (50M+50M),12979200,reward,73830.65625
DC-PPO (50M+50M),13030400,reward,74440.59375
DC-PPO (50M+50M),13081600,reward,74996.765625
DC-PPO (50M+50M),13132800,reward,74346.125
DC-PPO (50M+50M),13184000,reward,75199.1953125
DC-PPO (50M+50M),13235200,reward,74445.1875
DC-PPO (50M+50M),13286400,reward,74449.4921875
DC-PPO (50M+50M),13337600,reward,73796.6796875
DC-PPO (50M+50M),13388800,reward,74870.609375
DC-PPO (50M+50M),13440000,reward,74648.3671875
DC-PPO (50M+50M),13491200,reward,74524.1171875
DC-PPO (50M+50M),13542400,reward,75836.578125
DC-PPO (50M+50M),13593600,reward,75156.609375
DC-PPO (50M+50M),13644800,reward,74687.0546875
DC-PPO (50M+50M),13696000,reward,75123.1875
DC-PPO (50M+50M),13747200,reward,75413.28125
DC-PPO (50M+50M),13798400,reward,76035.515625
DC-PPO (50M+50M),13849600,reward,76580.9609375
DC-PPO (50M+50M),13900800,reward,76617.71875
DC-PPO (50M+50M),13952000,reward,76557.515625
DC-PPO (50M+50M),14003200,reward,75524.796875
DC-PPO (50M+50M),14054400,reward,75767.7578125
DC-PPO (50M+50M),14105600,reward,75421.953125
DC-PPO (50M+50M),14156800,reward,75401.6484375
DC-PPO (50M+50M),14208000,reward,74871.7421875
DC-PPO (50M+50M),14259200,reward,75444.15625
DC-PPO (50M+50M),14310400,reward,76574.4921875
DC-PPO (50M+50M),14361600,reward,76269.578125
DC-PPO (50M+50M),14412800,reward,76376.609375
DC-PPO (50M+50M),14464000,reward,76356.203125
DC-PPO (50M+50M),14515200,reward,76398.84375
DC-PPO (50M+50M),14566400,reward,75699.0
DC-PPO (50M+50M),14617600,reward,76865.5546875
DC-PPO (50M+50M),14668800,reward,76488.671875
DC-PPO (50M+50M),14720000,reward,75790.546875
DC-PPO (50M+50M),14771200,reward,75586.6328125
DC-PPO (50M+50M),14822400,reward,75967.84375
DC-PPO (50M+50M),14873600,reward,75664.140625
DC-PPO (50M+50M),14924800,reward,74666.828125
DC-PPO (50M+50M),14976000,reward,75779.8125
DC-PPO (50M+50M),15027200,reward,75633.4609375
DC-PPO (50M+50M),15078400,reward,75715.9765625
DC-PPO (50M+50M),15129600,reward,75744.25
DC-PPO (50M+50M),15180800,reward,75927.3515625
DC-PPO (50M+50M),15232000,reward,77150.1953125
DC-PPO (50M+50M),15283200,reward,76468.7578125
DC-PPO (50M+50M),15334400,reward,76826.1015625
DC-PPO (50M+50M),15385600,reward,76160.5625
DC-PPO (50M+50M),15436800,reward,76191.46875
DC-PPO (50M+50M),15488000,reward,76621.4375
DC-PPO (50M+50M),15539200,reward,76397.75
DC-PPO (50M+50M),15590400,reward,74788.1015625
DC-PPO (50M+50M),15641600,reward,75253.15625
DC-PPO (50M+50M),15692800,reward,75448.4453125
DC-PPO (50M+50M),15744000,reward,75476.1796875
DC-PPO (50M+50M),15795200,reward,75328.6484375
DC-PPO (50M+50M),15846400,reward,75412.0546875
DC-PPO (50M+50M),15897600,reward,75873.7734375
DC-PPO (50M+50M),15948800,reward,76227.0859375
DC-PPO (50M+50M),16000000,reward,75470.75
