series,segment,cumulative_steps,learning_episode,raw_or_mean,three_point_smoothed
"MAPPO (fixed 60, 3 seeds)",historical,7142400.0,279.0,432677.54846643517,432677.54846643517
"MAPPO (fixed 60, 3 seeds)",historical,7193600.0,281.0,433419.28747106483,433419.28747106483
"MAPPO (fixed 60, 3 seeds)",historical,7244800.0,283.0,434488.95167824073,434488.95167824073
"MAPPO (fixed 60, 3 seeds)",historical,7296000.0,285.0,435820.6734664352,435820.6734664352
"MAPPO (fixed 60, 3 seeds)",historical,7347200.0,287.0,436375.6643518519,436375.6643518519
"MAPPO (fixed 60, 3 seeds)",historical,7398400.0,289.0,436984.51924189815,436984.51924189815
"MAPPO (fixed 60, 3 seeds)",historical,7449600.0,291.0,437641.8417245371,437641.8417245371
"MAPPO (fixed 60, 3 seeds)",historical,7500800.0,293.0,439151.0245949074,439151.0245949074
"MAPPO (fixed 60, 3 seeds)",historical,7552000.0,295.0,439547.0999710648,439547.0999710648
"MAPPO (fixed 60, 3 seeds)",historical,7603200.0,297.0,439113.33637152775,439113.33637152775
"MAPPO (fixed 60, 3 seeds)",historical,7654400.0,299.0,437973.4748263888,437973.4748263888
"MAPPO (fixed 60, 3 seeds)",historical,7705600.0,301.0,437402.2951388888,437402.2951388888
"MAPPO (fixed 60, 3 seeds)",historical,7756800.0,303.0,438096.09432870365,438096.09432870365
"MAPPO (fixed 60, 3 seeds)",historical,7808000.0,305.0,438802.0520833333,438802.0520833333
"MAPPO (fixed 60, 3 seeds)",historical,7859200.0,307.0,439839.45674189815,439839.45674189815
"MAPPO (fixed 60, 3 seeds)",historical,7910400.0,309.0,439759.78168402775,439759.78168402775
"MAPPO (fixed 60, 3 seeds)",historical,7961600.0,311.0,440658.58116319444,440658.58116319444
"MAPPO (fixed 60, 3 seeds)",historical,8012800.0,313.0,441238.03964120365,441238.03964120365
"MAPPO (fixed 60, 3 seeds)",historical,8064000.0,315.0,443037.8262442129,443037.8262442129
"MAPPO (fixed 60, 3 seeds)",historical,8115200.0,317.0,443941.0596064815,443941.0596064815
"MAPPO (fixed 60, 3 seeds)",historical,8166400.0,319.0,445286.35329861107,445286.35329861107
"MAPPO (fixed 60, 3 seeds)",historical,8217600.0,321.0,445736.92737268517,445736.92737268517
"MAPPO (fixed 60, 3 seeds)",historical,8268800.0,323.0,446098.96151620365,446098.96151620365
"MAPPO (fixed 60, 3 seeds)",historical,8320000.0,325.0,445821.330150463,445821.330150463
"MAPPO (fixed 60, 3 seeds)",historical,8371200.0,327.0,445704.4632523148,445704.4632523148
"MAPPO (fixed 60, 3 seeds)",historical,8422400.0,329.0,446141.2997685185,446141.2997685185
"MAPPO (fixed 60, 3 seeds)",historical,8473600.0,331.0,447168.47569444444,447168.47569444444
"MAPPO (fixed 60, 3 seeds)",historical,8524800.0,333.0,448313.61863425927,448313.61863425927
"MAPPO (fixed 60, 3 seeds)",historical,8576000.0,335.0,449002.39380787034,449002.39380787034
"MAPPO (fixed 60, 3 seeds)",historical,8627200.0,337.0,449060.828125,449060.828125
"MAPPO (fixed 60, 3 seeds)",historical,8678400.0,339.0,448590.44097222225,448590.44097222225
"MAPPO (fixed 60, 3 seeds)",historical,8729600.0,341.0,448287.7476851852,448287.7476851852
"MAPPO (fixed 60, 3 seeds)",historical,8780800.0,343.0,449023.88946759264,449023.88946759264
"MAPPO (fixed 60, 3 seeds)",historical,8832000.0,345.0,450607.9921875,450607.9921875
"MAPPO (fixed 60, 3 seeds)",historical,8883200.0,347.0,452210.408275463,452210.408275463
"MAPPO (fixed 60, 3 seeds)",historical,8934400.0,349.0,452806.51099537034,452806.51099537034
"MAPPO (fixed 60, 3 seeds)",historical,8985600.0,351.0,453268.62557870365,453268.62557870365
"MAPPO (fixed 60, 3 seeds)",historical,9036800.0,353.0,453500.3802083333,453500.3802083333
"MAPPO (fixed 60, 3 seeds)",historical,9088000.0,355.0,454311.51244212966,454311.51244212966
"MAPPO (fixed 60, 3 seeds)",historical,9139200.0,357.0,454517.19675925927,454517.19675925927
"MAPPO (fixed 60, 3 seeds)",historical,9190400.0,359.0,455462.8868634259,455462.8868634259
"MAPPO (fixed 60, 3 seeds)",historical,9241600.0,361.0,455478.67129629635,455478.67129629635
"MAPPO (fixed 60, 3 seeds)",historical,9292800.0,363.0,455060.46846064815,455060.46846064815
"MAPPO (fixed 60, 3 seeds)",historical,9344000.0,365.0,453751.36892361107,453751.36892361107
"MAPPO (fixed 60, 3 seeds)",historical,9395200.0,367.0,453042.06365740736,453042.06365740736
"MAPPO (fixed 60, 3 seeds)",historical,9446400.0,369.0,453381.1258680555,453381.1258680555
"MAPPO (fixed 60, 3 seeds)",historical,9497600.0,371.0,454393.3269675926,454393.3269675926
"MAPPO (fixed 60, 3 seeds)",historical,9548800.0,373.0,455402.556712963,455402.556712963
"MAPPO (fixed 60, 3 seeds)",historical,9600000.0,375.0,456210.43894675927,456210.43894675927
"MAPPO (fixed 60, 3 seeds)",historical,9651200.0,377.0,456220.734375,456220.734375
