series,environment_steps,raw_value,three_point_smoothed_value
Q2 Cartesian spatial + curriculum,16307200,484854.8125,482118.09375
Q2 Cartesian spatial + curriculum,16358400,482011.59375,481799.2708333333
Q2 Cartesian spatial + curriculum,16409600,478531.40625,482004.2291666667
Q2 Cartesian spatial + curriculum,16460800,485469.6875,482429.7604166667
Q2 Cartesian spatial + curriculum,16512000,483288.1875,485712.46875
Q2 Cartesian spatial + curriculum,16563200,488379.53125,485538.21875
Q2 Cartesian spatial + curriculum,16614400,484946.9375,487292.5104166667
Q2 Cartesian spatial + curriculum,16665600,488551.0625,487171.6145833333
Q2 Cartesian spatial + curriculum,16716800,488016.84375,487311.2395833333
Q2 Cartesian spatial + curriculum,16768000,485365.8125,486569.46875
Q2 Cartesian spatial + curriculum,16819200,486325.75,485408.4375
Q2 Cartesian spatial + curriculum,16870400,484533.75,485800.0625
Q2 Cartesian spatial + curriculum,16921600,486540.6875,482317.65625
Q2 Cartesian spatial + curriculum,16972800,475878.53125,479847.5
Q2 Cartesian spatial + curriculum,17024000,477123.28125,476732.7916666667
Q2 Cartesian spatial + curriculum,17075200,477196.5625,480573.3333333333
Q2 Cartesian spatial + curriculum,17126400,487400.15625,480886.15625
Q2 Cartesian spatial + curriculum,17177600,478061.75,480586.6145833333
Q2 Cartesian spatial + curriculum,17228800,476297.9375,479551.9166666667
Q2 Cartesian spatial + curriculum,17280000,484296.0625,480764.7083333333
Q2 Cartesian spatial + curriculum,17331200,481700.125,482824.1145833333
Q2 Cartesian spatial + curriculum,17382400,482476.15625,485011.5104166667
Q2 Cartesian spatial + curriculum,17433600,490858.25,488665.3854166667
Q2 Cartesian spatial + curriculum,17484800,492661.75,489871.5208333333
Q2 Cartesian spatial + curriculum,17536000,486094.5625,489397.84375
Q2 Cartesian spatial + curriculum,17587200,489437.21875,485718.21875
Q2 Cartesian spatial + curriculum,17638400,481622.875,486689.6666666667
Q2 Cartesian spatial + curriculum,17689600,489008.90625,483775.96875
Q2 Cartesian spatial + curriculum,17740800,480696.125,484485.5625
Q2 Cartesian spatial + curriculum,17792000,483751.65625,483238.0833333333
Q2 Cartesian spatial + curriculum,17843200,485266.46875,481978.8333333333
Q2 Cartesian spatial + curriculum,17894400,476918.375,480967.9166666667
Q2 Cartesian spatial + curriculum,17945600,480718.90625,481055.8541666667
Q2 Cartesian spatial + curriculum,17996800,485530.28125,481111.4375
Q2 Cartesian spatial + curriculum,18048000,477085.125,482028.7083333333
Q2 Cartesian spatial + curriculum,18099200,483470.71875,479734.8229166667
Q2 Cartesian spatial + curriculum,18150400,478648.625,484129.0625
Q2 Cartesian spatial + curriculum,18201600,490267.84375,487181.3125
Q2 Cartesian spatial + curriculum,18252800,492627.46875,487899.1875
Q2 Cartesian spatial + curriculum,18304000,480802.25,485437.1770833333
Q2 Cartesian spatial + curriculum,18355200,482881.8125,483914.1145833333
Q2 Cartesian spatial + curriculum,18406400,488058.28125,485588.0729166667
Q2 Cartesian spatial + curriculum,18457600,485824.125,487862.4791666667
Q2 Cartesian spatial + curriculum,18508800,489705.03125,487997.3541666667
Q2 Cartesian spatial + curriculum,18560000,488462.90625,488776.75
Q2 Cartesian spatial + curriculum,18611200,488162.3125,487881.0625
Q2 Cartesian spatial + curriculum,18662400,487017.96875,487170.8645833333
Q2 Cartesian spatial + curriculum,18713600,486332.3125,485357.46875
Q2 Cartesian spatial + curriculum,18764800,482722.125,482714.4375
Q2 Cartesian spatial + curriculum,18816000,479088.875,478615.6458333333
Q2 Cartesian spatial + curriculum,18867200,474035.9375,477596.78125
Q2 Cartesian spatial + curriculum,18918400,479665.53125,476605.2083333333
Q2 Cartesian spatial + curriculum,18969600,476114.15625,476837.09375
Q2 Cartesian spatial + curriculum,19020800,474731.59375,477809.3958333333
Q2 Cartesian spatial + curriculum,19072000,482582.4375,478892.1979166667
Q2 Cartesian spatial + curriculum,19123200,479362.5625,481712.65625
Q2 Cartesian spatial + curriculum,19174400,483192.96875,481806.5833333333
Q2 Cartesian spatial + curriculum,19225600,482864.21875,484750.6770833333
Q2 Cartesian spatial + curriculum,19276800,488194.84375,485116.5729166667
Q2 Cartesian spatial + curriculum,19328000,484290.65625,488115.7083333333
Q2 Cartesian spatial + curriculum,19379200,491861.625,485731.6770833333
Q2 Cartesian spatial + curriculum,19430400,481042.75,486227.5104166667
