series,local_learning_episode,raw_value,three_point_smoothed_value
MAPPO continuation (local x),731.0,497795.0,498075.4791666667
MAPPO continuation (local x),733.0,497210.78125,497705.5833333333
MAPPO continuation (local x),735.0,498110.96875,497446.7395833333
MAPPO continuation (local x),737.0,497018.46875,497671.2395833333
MAPPO continuation (local x),739.0,497884.28125,496703.71875
MAPPO continuation (local x),741.0,495208.40625,496746.6041666667
MAPPO continuation (local x),743.0,497147.125,496951.1666666667
MAPPO continuation (local x),745.0,498497.96875,497925.4791666667
MAPPO continuation (local x),747.0,498131.34375,497944.5
MAPPO continuation (local x),749.0,497204.1875,497806.3958333333
MAPPO continuation (local x),751.0,498083.65625,497669.4479166667
MAPPO continuation (local x),753.0,497720.5,497820.7395833333
MAPPO continuation (local x),755.0,497658.0625,497993.4895833333
MAPPO continuation (local x),757.0,498601.90625,498587.1666666667
MAPPO continuation (local x),759.0,499501.53125,499341.1458333333
MAPPO continuation (local x),761.0,499920.0,499671.6979166667
MAPPO continuation (local x),763.0,499593.5625,499556.0
MAPPO continuation (local x),765.0,499154.4375,499190.4166666667
MAPPO continuation (local x),767.0,498823.25,498990.9166666667
MAPPO continuation (local x),769.0,498995.0625,499763.1458333333
MAPPO continuation (local x),771.0,501471.125,499995.1979166667
MAPPO continuation (local x),773.0,499519.40625,500767.3541666667
MAPPO continuation (local x),775.0,501311.53125,501373.2395833333
MAPPO continuation (local x),777.0,503288.78125,501199.6041666667
MAPPO continuation (local x),779.0,498998.5,501079.5
MAPPO continuation (local x),781.0,500951.21875,500364.4583333333
MAPPO continuation (local x),783.0,501143.65625,500899.2916666667
MAPPO continuation (local x),785.0,500603.0,501400.3020833333
MAPPO continuation (local x),787.0,502454.25,501064.3020833333
MAPPO continuation (local x),789.0,500135.65625,500627.1666666667
MAPPO continuation (local x),791.0,499291.59375,499722.1458333333
MAPPO continuation (local x),793.0,499739.1875,500102.4375
MAPPO continuation (local x),795.0,501276.53125,500557.1041666667
MAPPO continuation (local x),797.0,500655.59375,500229.8854166667
MAPPO continuation (local x),799.0,498757.53125,499615.09375
MAPPO continuation (local x),801.0,499432.15625,499329.6979166667
MAPPO continuation (local x),803.0,499799.40625,500512.8020833333
MAPPO continuation (local x),805.0,502306.84375,500907.2604166667
MAPPO continuation (local x),807.0,500615.53125,502083.4791666667
MAPPO continuation (local x),809.0,503328.0625,501593.09375
MAPPO continuation (local x),811.0,500835.6875,502272.2708333333
MAPPO continuation (local x),813.0,502653.0625,502228.8229166667
MAPPO continuation (local x),815.0,503197.71875,502703.59375
MAPPO continuation (local x),817.0,502260.0,502063.3541666667
MAPPO continuation (local x),819.0,500732.34375,501395.09375
MAPPO continuation (local x),821.0,501192.9375,500466.8854166667
MAPPO continuation (local x),823.0,499475.375,499395.9791666667
MAPPO continuation (local x),825.0,497519.625,498215.34375
MAPPO continuation (local x),827.0,497651.03125,497685.0520833333
MAPPO continuation (local x),829.0,497884.5,497445.3854166667
MAPPO continuation (local x),831.0,496800.625,497210.75
MAPPO continuation (local x),833.0,496947.125,496981.84375
MAPPO continuation (local x),835.0,497197.78125,496804.7291666667
MAPPO continuation (local x),837.0,496269.28125,496236.40625
MAPPO continuation (local x),839.0,495242.15625,496314.6354166667
MAPPO continuation (local x),841.0,497432.46875,496320.2083333333
MAPPO continuation (local x),843.0,496286.0,497342.1979166667
MAPPO continuation (local x),845.0,498308.125,498115.9791666667
MAPPO continuation (local x),847.0,499753.8125,498651.15625
MAPPO continuation (local x),849.0,497891.53125,498911.2916666667
MAPPO continuation (local x),851.0,499088.53125,498904.2604166667
