series,environment_steps,learning_episode,raw_value,three_point_smoothed_value
Q2,19020800,743.0,474731.59375,477809.3958333333
Q2,19072000,745.0,482582.4375,478892.1979166667
Q2,19123200,747.0,479362.5625,481712.65625
Q2,19174400,749.0,483192.96875,481806.5833333333
Q2,19225600,751.0,482864.21875,484750.6770833333
Q2,19276800,753.0,488194.84375,485116.5729166667
Q2,19328000,755.0,484290.65625,488115.7083333333
Q2,19379200,757.0,491861.625,485731.6770833333
Q2,19430400,759.0,481042.75,486227.5104166667
Q2,19481600,761.0,485778.15625,481855.65625
Q2,19532800,763.0,478746.0625,481832.1354166667
Q2,19584000,765.0,480972.1875,483184.2083333333
Q2,19635200,767.0,489834.375,486310.9166666667
Q2,19686400,769.0,488126.1875,487847.4375
Q2,19737600,771.0,485581.75,486021.8541666667
Q2,19788800,773.0,484357.625,483960.9791666667
Q2,19840000,775.0,481943.5625,484286.3020833333
Q2,19891200,777.0,486557.71875,484015.4791666667
Q2,19942400,779.0,483545.15625,486483.84375
Q2,19993600,781.0,489348.65625,490040.9375
Q2,20044800,783.0,497229.0,493686.7395833333
Q2,20096000,785.0,494482.5625,492208.3541666667
Q2,20147200,787.0,484913.5,488314.09375
Q2,20198400,789.0,485546.21875,484046.4895833333
Q2,20249600,791.0,481679.75,480326.4166666667
Q2,20300800,793.0,473753.28125,474088.375
Q2,20352000,795.0,466832.09375,468672.9479166667
Q2,20403200,797.0,465433.46875,469919.5
Q2,20454400,799.0,477492.9375,474398.84375
Q2,20505600,801.0,480270.125,480082.3229166667
Q2,20556800,803.0,482483.90625,483478.2604166667
Q2,20608000,805.0,487680.75,484668.2083333333
Q2,20659200,807.0,483839.96875,486372.40625
Q2,20710400,809.0,487596.5,484147.59375
Q2,20761600,811.0,481006.3125,485982.0104166667
Q2,20812800,813.0,489343.21875,488485.65625
Q2,20864000,815.0,495107.4375,491240.4895833333
Q2,20915200,817.0,489270.8125,488629.4270833333
Q2,20966400,819.0,481510.03125,484566.4791666667
Q2,21017600,821.0,482918.59375,483859.59375
Q2,21068800,823.0,487150.15625,484608.6666666667
Q2,21120000,825.0,483757.25,486153.6041666667
Q2,21171200,827.0,487553.40625,484769.15625
Q2,21222400,829.0,482996.8125,483449.6041666667
Q2,21273600,831.0,479798.59375,482914.3958333333
Q2,21324800,833.0,485947.78125,484569.7395833333
Q2,21376000,835.0,487962.84375,487740.7291666667
Q2,21427200,837.0,489311.5625,487417.0833333333
Q2,21478400,839.0,484976.84375,489614.1354166667
Q2,21529600,841.0,494554.0,488797.0208333333
Q2,21580800,843.0,486860.21875,487655.2395833333
Q2,21632000,845.0,481551.5,483892.5520833333
Q2,21683200,847.0,483265.9375,484315.8958333333
Q2,21734400,849.0,488130.25,485174.1458333333
Q2,21785600,851.0,484126.25,483469.4583333333
Q2,21836800,853.0,478151.875,479853.2604166667
Q2,21888000,855.0,477281.65625,476632.2916666667
Q2,21939200,857.0,474463.34375,475817.5729166667
Q2,21990400,859.0,475707.71875,477346.34375
Q2,22041600,861.0,481867.96875,477702.4791666667
Q2,22092800,863.0,475531.75,478404.53125
Q2,22144000,865.0,477813.875,476574.7291666667
Q2,22195200,867.0,476378.5625,478395.84375
Q2,22246400,869.0,480995.09375,479100.75
Q2,22297600,871.0,479928.59375,483019.0833333333
Q2,22348800,873.0,488133.5625,483810.6979166667
Q2,22400000,875.0,483369.9375,486474.5104166667
Q2,22451200,877.0,487920.03125,485693.4583333333
Q2,22502400,879.0,485790.40625,486228.4479166667
