series,source_kind,learning_episode,mean,std
"MAPPO (fixed 60, 3 seeds)",historical,529.0,481938.25,3927.667362167641
"MAPPO (fixed 60, 3 seeds)",historical,531.0,483182.3836805555,2730.071859335206
"MAPPO (fixed 60, 3 seeds)",historical,533.0,483342.37847222225,1077.8223886786175
"MAPPO (fixed 60, 3 seeds)",historical,535.0,483993.4296875,811.0345612367973
"MAPPO (fixed 60, 3 seeds)",historical,537.0,483169.3229166667,1784.3263234172357
"MAPPO (fixed 60, 3 seeds)",historical,539.0,483783.765625,3297.1121301025146
"MAPPO (fixed 60, 3 seeds)",historical,541.0,484797.3654513888,1474.7248836203717
"MAPPO (fixed 60, 3 seeds)",historical,543.0,485188.9331597222,2175.5075545785303
"MAPPO (fixed 60, 3 seeds)",historical,545.0,485821.98871527775,2024.1719146807902
"MAPPO (fixed 60, 3 seeds)",historical,547.0,485085.7612847222,4308.282388828813
"MAPPO (fixed 60, 3 seeds)",historical,549.0,485312.76736111107,4129.488336370186
"MAPPO (fixed 60, 3 seeds)",historical,551.0,485313.28472222225,4121.740010358145
"MAPPO (fixed 60, 3 seeds)",historical,553.0,485455.15711805556,4210.765061072782
"MAPPO (fixed 60, 3 seeds)",historical,555.0,486142.4479166667,4428.273393329621
"MAPPO (fixed 60, 3 seeds)",historical,557.0,486863.3828125,4200.717733407264
"MAPPO (fixed 60, 3 seeds)",historical,559.0,488044.4184027778,3539.444343731918
"MAPPO (fixed 60, 3 seeds)",historical,561.0,488150.16059027775,2836.0840886417072
"MAPPO (fixed 60, 3 seeds)",historical,563.0,487799.4097222222,3041.3549032519654
"MAPPO (fixed 60, 3 seeds)",historical,565.0,486792.8359375,2383.456209939152
"MAPPO (fixed 60, 3 seeds)",historical,567.0,486999.75,2864.7033092591923
"MAPPO (fixed 60, 3 seeds)",historical,569.0,487091.99045138893,2871.5890847217447
"MAPPO (fixed 60, 3 seeds)",historical,571.0,487978.4019097222,4339.158387760386
"MAPPO (fixed 60, 3 seeds)",historical,573.0,487368.97222222225,4011.412652769525
"MAPPO (fixed 60, 3 seeds)",historical,575.0,487010.04340277775,3946.2195912586562
"MAPPO (fixed 60, 3 seeds)",historical,577.0,487186.25694444444,2106.275141338632
"MAPPO (fixed 60, 3 seeds)",historical,579.0,488600.6284722222,1373.8094757398783
"MAPPO (fixed 60, 3 seeds)",historical,581.0,488910.89756944444,1020.3523103078867
"MAPPO (fixed 60, 3 seeds)",historical,583.0,489619.9487847222,2018.6010360646235
"MAPPO (fixed 60, 3 seeds)",historical,585.0,488478.7361111112,2523.6667712809945
"MAPPO (fixed 60, 3 seeds)",historical,587.0,489226.36631944444,2471.3124404684318
"MAPPO (fixed 60, 3 seeds)",historical,589.0,488118.16232638893,2110.437203611119
"MAPPO (fixed 60, 3 seeds)",historical,591.0,489379.1015625,2753.5411160650838
"MAPPO (fixed 60, 3 seeds)",historical,593.0,489409.4826388888,4335.762822404443
"MAPPO (fixed 60, 3 seeds)",historical,595.0,490851.0008680555,4879.386747243111
"MAPPO (fixed 60, 3 seeds)",historical,597.0,490710.05381944444,5265.866612043748
