series,environment_steps,environment_steps_million,raw_value,three_point_smoothed_value
MAPPO strict 1+5,8576000,8.576,389186.65625,389031.625
MAPPO strict 1+5,8627200,8.6272,385336.375,388934.03125
MAPPO strict 1+5,8678400,8.6784,392279.0625,389087.34375
MAPPO strict 1+5,8729600,8.7296,389646.59375,393079.1458333333
MAPPO strict 1+5,8780800,8.7808,397311.78125,391865.8020833333
MAPPO strict 1+5,8832000,8.832,388639.03125,391489.4166666667
MAPPO strict 1+5,8883200,8.8832,388517.4375,388935.9791666667
MAPPO strict 1+5,8934400,8.9344,389651.46875,391189.9791666667
MAPPO strict 1+5,8985600,8.9856,395401.03125,392786.5104166667
MAPPO strict 1+5,9036800,9.0368,393307.03125,392780.1770833333
MAPPO strict 1+5,9088000,9.088,389632.46875,393843.1875
MAPPO strict 1+5,9139200,9.1392,398590.0625,394876.1458333333
MAPPO strict 1+5,9190400,9.1904,396405.90625,399181.5625
MAPPO strict 1+5,9241600,9.2416,402548.71875,400421.8333333333
MAPPO strict 1+5,9292800,9.2928,402310.875,401522.5625
MAPPO strict 1+5,9344000,9.344,399708.09375,399924.6770833333
MAPPO strict 1+5,9395200,9.3952,397755.0625,401527.6354166667
MAPPO strict 1+5,9446400,9.4464,407119.75,402421.1041666667
MAPPO strict 1+5,9497600,9.4976,402388.5,403941.6979166667
MAPPO strict 1+5,9548800,9.5488,402316.84375,400668.3645833333
MAPPO strict 1+5,9600000,9.6,397299.75,398782.0520833333
MAPPO strict 1+5,9651200,9.6512,396729.5625,398152.7916666667
MAPPO strict 1+5,9702400,9.7024,400429.0625,399587.1041666667
MAPPO strict 1+5,9753600,9.7536,401602.6875,399711.3333333333
MAPPO strict 1+5,9804800,9.8048,397102.25,398886.0
MAPPO strict 1+5,9856000,9.856,397953.0625,399496.4895833333
MAPPO strict 1+5,9907200,9.9072,403434.15625,401562.0104166667
MAPPO strict 1+5,9958400,9.9584,403298.8125,402811.8645833333
MAPPO strict 1+5,10009600,10.0096,401702.625,402288.9791666667
MAPPO strict 1+5,10060800,10.0608,401865.5,401327.0104166667
MAPPO strict 1+5,10112000,10.112,400412.90625,401381.5208333333
MAPPO strict 1+5,10163200,10.1632,401866.15625,402220.9583333333
MAPPO strict 1+5,10214400,10.2144,404383.8125,403262.8854166667
MAPPO strict 1+5,10265600,10.2656,403538.6875,405595.0
MAPPO strict 1+5,10316800,10.3168,408862.5,405473.3125
MAPPO strict 1+5,10368000,10.368,404018.75,405684.90625
MAPPO strict 1+5,10419200,10.4192,404173.46875,402083.1041666667
MAPPO strict 1+5,10470400,10.4704,398057.09375,400694.4166666667
MAPPO strict 1+5,10521600,10.5216,399852.6875,397933.28125
MAPPO strict 1+5,10572800,10.5728,395890.0625,400172.9895833333
MAPPO strict 1+5,10624000,10.624,404776.21875,401144.5104166667
MAPPO strict 1+5,10675200,10.6752,402767.25,403435.5833333333
MAPPO strict 1+5,10726400,10.7264,402763.28125,404472.3125
MAPPO strict 1+5,10777600,10.7776,407886.40625,403731.8125
MAPPO strict 1+5,10828800,10.8288,400545.75,403242.3020833333
MAPPO strict 1+5,10880000,10.88,401294.75,403717.3854166667
MAPPO strict 1+5,10931200,10.9312,409311.65625,403650.2708333333
MAPPO strict 1+5,10982400,10.9824,400344.40625,405046.0104166667
MAPPO strict 1+5,11033600,11.0336,405481.96875,404162.4895833333
MAPPO strict 1+5,11084800,11.0848,406661.09375,406941.0729166667
MAPPO strict 1+5,11136000,11.136,408680.15625,407041.09375
MAPPO strict 1+5,11187200,11.1872,405782.03125,407568.1666666667
MAPPO strict 1+5,11238400,11.2384,408242.3125,406937.2395833333
MAPPO strict 1+5,11289600,11.2896,406787.375,407903.9895833333
MAPPO strict 1+5,11340800,11.3408,408682.28125,408601.9166666667
MAPPO strict 1+5,11392000,11.392,410336.09375,410328.6875
MAPPO strict 1+5,11443200,11.4432,411967.6875,408937.0104166667
MAPPO strict 1+5,11494400,11.4944,404507.25,408158.8645833333
MAPPO strict 1+5,11545600,11.5456,408001.65625,408707.0104166667
MAPPO strict 1+5,11596800,11.5968,413612.125,409513.4375
MAPPO strict 1+5,11648000,11.648,406926.53125,411208.6458333333
MAPPO strict 1+5,11699200,11.6992,413087.28125,409108.09375
MAPPO strict 1+5,11750400,11.7504,407310.46875,406470.8958333333
MAPPO strict 1+5,11801600,11.8016,399014.9375,405852.34375
MAPPO strict 1+5,11852800,11.8528,411231.625,406214.1041666667
MAPPO strict 1+5,11904000,11.904,408395.75,408307.0104166667
MAPPO strict 1+5,11955200,11.9552,405293.65625,406047.5416666667
MAPPO strict 1+5,12006400,12.0064,404453.21875,404998.5833333333
MAPPO strict 1+5,12057600,12.0576,405248.875,405299.3958333333
MAPPO strict 1+5,12108800,12.1088,406196.09375,408784.6458333333
MAPPO strict 1+5,12160000,12.16,414908.96875,409946.8333333333
MAPPO strict 1+5,12211200,12.2112,408735.4375,411147.1458333333
MAPPO strict 1+5,12262400,12.2624,409797.03125,409275.0208333333
MAPPO strict 1+5,12313600,12.3136,409292.59375,407215.8333333333
MAPPO strict 1+5,12364800,12.3648,402557.875,405157.2604166667
MAPPO strict 1+5,12416000,12.416,403621.3125,402327.5625
MAPPO strict 1+5,12467200,12.4672,400803.5,405004.34375
MAPPO strict 1+5,12518400,12.5184,410588.21875,405522.15625
MAPPO strict 1+5,12569600,12.5696,405174.75,407945.8125
MAPPO strict 1+5,12620800,12.6208,408074.46875,408383.6875
MAPPO strict 1+5,12672000,12.672,411901.84375,410548.0208333333
MAPPO strict 1+5,12723200,12.7232,411667.75,412178.8333333333
MAPPO strict 1+5,12774400,12.7744,412966.90625,412069.8541666667
MAPPO strict 1+5,12825600,12.8256,411574.90625,411187.1979166667
MAPPO strict 1+5,12876800,12.8768,409019.78125,409494.5416666667
MAPPO strict 1+5,12928000,12.928,407888.9375,408988.40625
MAPPO strict 1+5,12979200,12.9792,410056.5,409268.4166666667
MAPPO strict 1+5,13030400,13.0304,409859.8125,410306.8541666667
MAPPO strict 1+5,13081600,13.0816,411004.25,411613.0104166667
MAPPO strict 1+5,13132800,13.1328,413974.96875,412583.2291666667
MAPPO strict 1+5,13184000,13.184,412770.46875,413056.3229166667
MAPPO strict 1+5,13235200,13.2352,412423.53125,412668.4479166667
MAPPO strict 1+5,13286400,13.2864,412811.34375,412227.15625
MAPPO strict 1+5,13337600,13.3376,411446.59375,413015.6354166667
MAPPO strict 1+5,13388800,13.3888,414788.96875,414072.96875
MAPPO strict 1+5,13440000,13.44,415983.34375,415730.09375
MAPPO strict 1+5,13491200,13.4912,416417.96875,417430.9895833333
MAPPO strict 1+5,13542400,13.5424,419891.65625,417927.3541666667
MAPPO strict 1+5,13593600,13.5936,417472.4375,416152.2604166667
MAPPO strict 1+5,13644800,13.6448,411092.6875,413972.7916666667
MAPPO strict 1+5,13696000,13.696,413353.25,412705.6666666667
MAPPO strict 1+5,13747200,13.7472,413671.0625,413835.28125
MAPPO strict 1+5,13798400,13.7984,414481.53125,415698.9375
MAPPO strict 1+5,13849600,13.8496,418944.21875,419095.6979166667
MAPPO strict 1+5,13900800,13.9008,423861.34375,422310.53125
MAPPO strict 1+5,13952000,13.952,424126.03125,422390.5
MAPPO strict 1+5,14003200,14.0032,419184.125,420503.1666666667
MAPPO strict 1+5,14054400,14.0544,418199.34375,417331.1354166667
MAPPO strict 1+5,14105600,14.1056,414609.9375,417113.375
MAPPO strict 1+5,14156800,14.1568,418530.84375,416095.6354166667
MAPPO strict 1+5,14208000,14.208,415146.125,418242.9583333333
MAPPO strict 1+5,14259200,14.2592,421051.90625,420195.28125
MAPPO strict 1+5,14310400,14.3104,424387.8125,422332.6875
MAPPO strict 1+5,14361600,14.3616,421558.34375,422230.15625
MAPPO strict 1+5,14412800,14.4128,420744.3125,421829.03125
MAPPO strict 1+5,14464000,14.464,423184.4375,421703.7083333333
MAPPO strict 1+5,14515200,14.5152,421182.375,422710.7604166667
MAPPO strict 1+5,14566400,14.5664,423765.46875,422763.1354166667
MAPPO strict 1+5,14617600,14.6176,423341.5625,423888.3541666667
MAPPO strict 1+5,14668800,14.6688,424558.03125,423766.2395833333
MAPPO strict 1+5,14720000,14.72,423399.125,424275.75
MAPPO strict 1+5,14771200,14.7712,424870.09375,424058.3854166667
MAPPO strict 1+5,14822400,14.8224,423905.9375,423912.3645833333
MAPPO strict 1+5,14873600,14.8736,422961.0625,422886.5416666667
MAPPO strict 1+5,14924800,14.9248,421792.625,422364.3229166667
MAPPO strict 1+5,14976000,14.976,422339.28125,421789.3854166667
MAPPO strict 1+5,15027200,15.0272,421236.25,421847.2708333333
MAPPO strict 1+5,15078400,15.0784,421966.28125,420159.4583333333
MAPPO strict 1+5,15129600,15.1296,417275.84375,419973.0729166667
MAPPO strict 1+5,15180800,15.1808,420677.09375,421076.9166666667
MAPPO strict 1+5,15232000,15.232,425277.8125,422907.0104166667
MAPPO strict 1+5,15283200,15.2832,422766.125,424540.25
MAPPO strict 1+5,15334400,15.3344,425576.8125,423545.8541666667
MAPPO strict 1+5,15385600,15.3856,422294.625,423219.1770833333
MAPPO strict 1+5,15436800,15.4368,421786.09375,422475.6979166667
MAPPO strict 1+5,15488000,15.488,423346.375,422976.78125
MAPPO strict 1+5,15539200,15.5392,423797.875,421466.34375
MAPPO strict 1+5,15590400,15.5904,417254.78125,419977.6458333333
MAPPO strict 1+5,15641600,15.6416,418880.28125,417711.6458333333
MAPPO strict 1+5,15692800,15.6928,416999.875,417680.2395833333
MAPPO strict 1+5,15744000,15.744,417160.5625,418105.71875
